player,Drawing,Losing,Winning,pressure_performance,total_actions
Abbey-Leigh Stringer,0.189,0.11,0.183,-0.073,1876
Abbi Grant,0.417,0.32,0.085,0.235,672
Abbie McManus,0.235,0.284,0.232,0.05199999999999996,3383
Abby Dahlkemper,0.283,0.493,0.34,0.15299999999999997,925
Abigail Harrison,0.211,0.169,0.194,-0.024999999999999994,974
Adelina Engman,0.093,0.955,0.228,0.727,258
Adriana Kristina Leon,0.254,0.292,0.144,0.148,1070
Adrienne Jordan,0.359,0.19,0.571,-0.38099999999999995,979
Aileen Whelan,0.317,0.287,0.235,0.05199999999999999,2755
Aimee Palmer,0.162,0.145,0.157,-0.01200000000000001,457
Alanna Stephanie Kennedy,0.092,0.191,0.352,-0.16099999999999998,1142
Alex Greenwood,0.348,0.535,0.352,0.18300000000000005,2628
Alexandra MacIver,0.309,0.658,0.292,0.36600000000000005,313
Alexandra Riley,0.366,-0.21,0.405,-0.615,248
Alisha Lehmann,0.238,0.243,0.18,0.063,1752
Amalie Vevle Eikeland,0.261,0.344,0.307,0.03699999999999998,1384
Amanda Nildén,0.241,0.207,0.087,0.12,251
Amber Gaylor,0.2,0.325,0.401,-0.07600000000000001,450
Amy Rodgers,0.2,0.257,0.361,-0.10399999999999998,502
Amy Turner,0.194,0.323,0.2,0.123,2046
Angela Addison,0.399,0.228,0.239,-0.010999999999999982,703
Angharad James,0.272,0.286,0.218,0.06799999999999998,3694
Anita Amma Ankyewah Asante,0.262,0.377,0.517,-0.14,926
Ann-Katrin Berger,0.025,0.793,0.275,0.518,398
Anna Filbey,0.091,0.237,0.45,-0.21300000000000002,844
Anna Patten,0.381,-0.369,0.509,-0.878,220
Anne-Marie Heatherson,0.208,0.201,-0.317,0.518,664
Aoife Mannion,0.219,0.221,0.321,-0.1,2693
Ashleigh Neville,0.349,0.354,0.256,0.09799999999999998,1669
Ashley Hodson,0.005,0.317,0.628,-0.311,136
Asmita Ale,0.371,0.218,0.356,-0.13799999999999998,1077
Bethan Roberts,0.482,0.373,0.306,0.067,254
Bethan Roe,0.388,0.512,0.477,0.03500000000000003,288
Bethany England,0.3,0.128,0.367,-0.239,1842
Bethany Mead,0.249,0.357,0.315,0.04199999999999998,3742
Bonnie Horwood,0.427,0.084,0.696,-0.612,803
Brianna Visalli,0.263,0.297,0.289,0.008000000000000007,1336
Brooke Chaplen,0.285,0.168,0.127,0.04100000000000001,1504
Brooke Hendrix,0.229,0.456,0.545,-0.08900000000000002,867
Caitlin Jade Foord,0.179,0.526,0.265,0.261,846
Carla Humphrey,0.283,0.16,0.202,-0.04200000000000001,2184
Carlotte Wubben-Moy,0.331,0.416,0.251,0.16499999999999998,1600
Carly Mitchell Telford,0.205,0.102,0.115,-0.013000000000000012,173
Caroline Siems,0.431,0.49,0.435,0.05499999999999999,793
Caroline Weir,0.287,0.269,0.271,-0.0020000000000000018,5286
Cecilie Redisch Kvamme,0.35,0.243,0.305,-0.062,1667
Chantelle Boye-Hlorkah,0.24,0.164,0.16,0.0040000000000000036,1020
Charlie Wellings,0.304,0.297,0.36,-0.063,2219
Charlotte Buxton,0.299,0.361,-0.457,0.8180000000000001,170
Charlotte Estcourt,0.249,0.141,0.382,-0.24100000000000002,230
Chloe Arthur,0.282,0.276,0.291,-0.014999999999999958,3058
Chloe Kelly,0.293,0.245,0.282,-0.03699999999999998,2601
Chloe Logarzo,0.24,0.235,0.079,0.15599999999999997,284
Chloe Mccarron,0.243,0.458,0.17,0.28800000000000003,131
Chloe Peplow,0.271,0.258,0.194,0.064,1666
Christen Annemarie Press,0.268,0.397,0.305,0.09200000000000003,459
Christie Murray,0.203,0.266,0.297,-0.030999999999999972,1771
Claire Emslie,0.255,0.336,0.266,0.07,1453
Claire Lauren Rafferty,0.449,0.43,0.312,0.118,897
Claudia Walker,0.165,0.338,0.198,0.14,1684
Connie Scofield,0.288,0.327,0.354,-0.02699999999999997,929
Courtney Brosnan,0.914,0.431,0.367,0.064,114
Courtney Sweetman-Kirk,0.323,0.282,0.134,0.14799999999999996,973
Dagný Brynjarsdóttir,0.252,0.642,0.129,0.513,380
Damaris Berta Egurrola Wienke,0.402,0.36,0.201,0.15899999999999997,409
Danielle Buet,0.308,0.238,0.349,-0.11099999999999999,2401
Danielle Carter,0.358,0.172,0.273,-0.10100000000000003,849
Danielle Turner,0.483,0.395,0.417,-0.021999999999999964,2902
Danielle van de Donk,0.334,0.434,0.23,0.204,3933
Danique Kerkdijk,0.183,0.176,0.246,-0.07,2102
Deanna Cooper,0.349,0.368,0.118,0.25,1722
Demi Stokes,0.326,0.31,0.345,-0.034999999999999976,3260
Denise O'Sullivan,0.228,0.216,1.287,-1.071,527
Diana Micaela Abreu de Sousa e Silva,0.452,0.261,0.231,0.03,324
Dominique Bruinenberg,0.127,0.205,0.149,0.055999999999999994,490
Dominique Johanna Anna Petrone Janssen,0.197,0.109,0.273,-0.16400000000000003,1822
Drew Spence,0.272,0.15,0.349,-0.19899999999999998,1696
Ebony Salmon,0.302,0.301,0.413,-0.11199999999999999,918
Elise Hughes,0.391,0.255,0.253,0.0020000000000000018,288
Elisha N''Dow,0.395,0.199,0.638,-0.439,728
Ella Franklin-Fraiture,0.459,0.305,0.176,0.129,658
Ella Jade Mastrantonio,0.303,0.174,-0.158,0.33199999999999996,615
Ella Rutherford,-0.001,0.245,0.353,-0.10799999999999998,748
Ella Toone,0.332,0.234,0.284,-0.04999999999999996,1912
Ellen White,0.254,0.391,0.304,0.08700000000000002,1248
Ellie Brazil,0.093,0.271,0.355,-0.08399999999999996,1654
Ellie Mason,0.307,0.346,0.474,-0.128,593
Ellie Roebuck,0.321,0.381,0.184,0.197,681
Emily Donovan,0.187,0.362,0.261,0.10099999999999998,360
Emily Louise van Egmond,0.229,0.277,0.461,-0.184,1245
Emily Murphy,0.294,0.296,0.872,-0.5760000000000001,291
Emily Simpkins,0.457,0.365,0.488,-0.123,702
Emily Syme,0.209,0.062,0.417,-0.355,439
Emma Bissell,0.168,0.5,0.471,0.029000000000000026,246
Emma Brownlie,0.201,0.297,0.653,-0.35600000000000004,239
Emma Follis,0.242,0.378,0.465,-0.08700000000000002,1275
Emma Harries,0.367,0.355,0.126,0.22899999999999998,248
Emma Mukandi,0.286,0.382,0.267,0.11499999999999999,2539
Emma Rose Kelly,0.323,0.156,0.216,-0.06,400
Emma Wilhelmina Koivisto,0.448,0.37,0.45,-0.08000000000000002,557
Erin Bloomfield,0.394,0.35,-0.016,0.366,152
Erin Cuthbert,0.291,0.435,0.311,0.124,3192
Erin Simon,0.276,0.28,0.311,-0.030999999999999972,1191
Esme Beth Morgan,0.37,0.316,0.342,-0.026000000000000023,2758
Esmee de Graaf,0.355,0.18,0.213,-0.033,424
Esther Morgan,0.263,0.263,-0.016,0.279,491
Fara Williams,0.255,0.27,0.226,0.04400000000000001,3555
Faye Bryson,0.401,0.28,0.424,-0.14399999999999996,1013
Felicity Gibbons,0.37,0.255,0.391,-0.136,2808
Fern Whelan,0.225,0.353,0.558,-0.20500000000000007,361
Florence Allen,0.436,0.249,0.534,-0.28500000000000003,730
Francesca Kirby,0.389,0.191,0.358,-0.16699999999999998,2093
Frankie Brown,0.179,0.157,0.391,-0.234,1177
Freya Gregory,0.523,0.163,-0.066,0.229,193
Ga-Eul Jeon,0.12,0.503,-0.04,0.543,122
Gabrielle George,0.442,0.382,0.392,-0.010000000000000009,2327
Gemma Bonner,0.336,0.346,0.394,-0.04800000000000004,3754
Gemma Evans,0.439,0.466,0.375,0.09100000000000003,1875
Gemma Suzanne Davison,0.136,0.288,0.306,-0.018000000000000016,1719
Georgia Brougham,0.14,0.135,0.07,0.065,2001
Georgia Evans,0.346,0.355,0.614,-0.259,677
Georgia Stanway,0.335,0.162,0.318,-0.156,3492
Georgia Wilson,0.158,0.288,0.395,-0.10700000000000004,135
Geum-Min Lee,0.429,0.238,0.404,-0.16600000000000004,730
Gilly Louise Scarlett Flaherty,0.277,0.271,0.354,-0.08299999999999996,3196
Grace Clinton,0.494,0.075,0.263,-0.188,173
Grace Fisk,0.29,0.329,0.294,0.03500000000000003,1435
Grace Moloney,0.539,0.796,0.644,0.15200000000000002,416
Guro Reiten,0.269,0.487,0.332,0.15499999999999997,1590
Hannah Cain,0.423,0.226,0.421,-0.19499999999999998,555
Hannah Godfrey,0.252,0.189,0.173,0.016000000000000014,1319
Hannah Hampton,0.908,-0.32,0.738,-1.058,349
Hannah Jayne Blundell,0.301,0.414,0.276,0.13799999999999996,2678
Hannah Short,0.489,0.314,0.552,-0.23800000000000004,513
Harriet Scott,0.369,0.359,0.357,0.0020000000000000018,2551
Hawa Cissoko,0.582,0.074,0.25,-0.176,257
Hayley Emma Raso,0.372,0.229,0.199,0.03,1037
Hayley Ladd,0.261,0.295,0.319,-0.02400000000000002,3039
Heather Payne,0.289,0.182,0.113,0.06899999999999999,139
Inessa Kaagman,0.249,0.265,0.243,0.02200000000000002,2722
Ingrid Moe Wold,0.234,0.211,0.294,-0.08299999999999999,1628
Iniabasi Anefiok Umotong,0.231,0.258,0.298,-0.03999999999999998,837
Isobel Mary Christiansen,0.299,0.391,0.296,0.09500000000000003,2049
Jacinta Galabadaarachchi,0.228,0.323,0.48,-0.15699999999999997,280
Jackie Groenen,0.302,0.28,0.338,-0.057999999999999996,2106
Jade Bailey,0.17,0.257,0.288,-0.030999999999999972,1222
Jade Moore,0.279,0.188,0.16,0.027999999999999997,1671
Jamie-Lee Napier,0.319,0.125,0.431,-0.306,469
Jane Ross,0.34,0.31,0.325,-0.015000000000000013,1509
Janine Elizabeth Beckie,0.292,0.276,0.37,-0.09399999999999997,2232
Janni Arnth-Jensen,0.622,0.042,0.242,-0.19999999999999998,309
Jasmine Matthews,0.375,0.261,0.528,-0.267,1600
Jemma Elizabeth Purfield,0.582,0.438,0.543,-0.10500000000000004,1595
Jennifer Patricia Beattie,0.312,0.178,0.333,-0.15500000000000003,4327
Jessica Anne Clarke,0.123,0.174,0.407,-0.23299999999999998,810
Jessica Carter,0.231,0.548,0.367,0.18100000000000005,1269
Jessica Fishlock,0.192,0.113,0.161,-0.048,1319
Jessica Naz,0.258,0.444,0.276,0.16799999999999998,301
Jessica Park,0.121,-0.075,0.35,-0.425,138
Jessica Sigsworth,0.368,0.324,0.301,0.02300000000000002,613
Jessie Alexandra Fleming,0.086,0.112,0.23,-0.11800000000000001,519
Jill Roord,0.286,0.211,0.208,0.0030000000000000027,2147
Jill Scott,0.255,0.338,0.303,0.03500000000000003,3857
Jodie Brett,0.36,0.158,0.357,-0.19899999999999998,333
Jodie Hutton,0.277,0.145,0.253,-0.10800000000000001,500
Jonna Ann-Charlotte Andersson,0.271,0.444,0.368,0.07600000000000001,4688
Jordan Nobbs,0.296,0.35,0.306,0.043999999999999984,3306
Josanne Potter,0.471,0.405,0.333,0.07200000000000001,2223
Josie Green,0.249,0.296,0.299,-0.0030000000000000027,1330
Julia Simic,0.241,0.016,0.43,-0.414,995
Julie Biesmans,0.321,0.249,0.06,0.189,807
Juliette Kemppi,0.536,0.544,0.611,-0.06699999999999995,278
Karen Julia Carney,0.254,0.626,0.25,0.376,872
Kate Longhurst,0.242,0.332,0.274,0.057999999999999996,2616
Kate Natkiel,0.047,0.209,0.133,0.07599999999999998,607
Katerina Svitková,0.262,0.383,0.294,0.08900000000000002,652
Katharina Baunach,0.385,0.394,0.375,0.019000000000000017,898
Katie McCabe,0.334,0.323,0.345,-0.021999999999999964,5359
Katie Robinson,0.41,0.358,0.108,0.25,207
Katie Zelem,0.221,0.376,0.288,0.08800000000000002,2688
Katrine Veje,0.292,0.866,0.321,0.5449999999999999,735
Kayleigh Green,0.247,0.353,0.209,0.144,2703
Keira Walsh,0.224,0.251,0.245,0.006000000000000005,6347
Kenza Dali,0.219,0.281,0.34,-0.059,2227
Kerys Harrop,0.404,0.336,0.297,0.039000000000000035,3265
Kiera Skeels,0.351,0.097,0.084,0.012999999999999998,406
Kika van Es,0.293,0.245,0.007,0.238,433
Kim Little,0.264,0.313,0.273,0.03999999999999998,4155
Kirstie Levell,0.944,-0.124,-0.227,0.10300000000000001,149
Kirsty Barton,0.296,0.404,0.251,0.15300000000000002,1743
Kirsty Hanson,0.37,0.462,0.209,0.253,1008
Kirsty Linnett,0.314,0.254,0.328,-0.07400000000000001,831
Kirsty Smith,0.381,0.379,0.284,0.09500000000000003,1480
Kirstyn Pearce,0.248,0.307,0.209,0.098,1586
Kit Graham,0.219,0.274,0.297,-0.022999999999999965,1539
Kristine Leine,0.318,0.321,0.406,-0.08500000000000002,1779
Laura Coombs,0.395,0.312,0.205,0.10700000000000001,2234
Laura Rafferty,0.271,0.237,0.122,0.11499999999999999,855
Laura Vetterlein,0.252,0.401,0.255,0.14600000000000002,1685
Lauren Bruton,0.245,0.318,0.313,0.0050000000000000044,1318
Lauren Hemp,0.329,0.354,0.319,0.034999999999999976,2079
Lauren James,0.234,0.297,0.173,0.124,742
Leah Galton,0.312,0.461,0.441,0.020000000000000018,1592
Leah Williamson,0.207,0.171,0.235,-0.06399999999999997,6647
Leandra Little,0.324,0.333,0.694,-0.36099999999999993,176
Leanne Kiernan,0.194,0.245,0.333,-0.08800000000000002,899
Leigh-Anne Robe,0.459,0.36,0.269,0.09099999999999997,1928
Leonie Maier,0.392,0.365,0.361,0.0040000000000000036,1495
Lia Wälti,0.266,0.335,0.289,0.04600000000000004,4490
Lily Simkin,0.191,0.409,-0.184,0.593,302
Lily Woodham,0.297,0.488,0.551,-0.06300000000000006,877
Lisa Evans,0.362,0.371,0.326,0.044999999999999984,3493
Lisa-Marie Utland,0.334,0.228,-0.52,0.748,172
Lois Joel,0.327,0.105,0.423,-0.318,204
Loren Dykes,0.298,0.316,0.371,-0.05499999999999999,1287
Lotta Ökvist,0.318,-0.172,0.789,-0.9610000000000001,227
Louise Quinn,0.262,0.202,0.248,-0.045999999999999985,2192
Lucia Leon,0.23,0.07,0.35,-0.27999999999999997,210
Lucienne Reichardt,0.37,0.208,0.448,-0.24000000000000002,431
Lucy Bronze,0.301,0.033,0.27,-0.23700000000000002,2337
Lucy Hope,0.296,0.333,0.342,-0.009000000000000008,2744
Lucy Quinn,0.369,0.338,0.256,0.08200000000000002,1148
Lucy Staniforth,0.231,0.234,0.317,-0.08299999999999999,3387
Lucy Whipp,0.28,0.223,0.158,0.065,1253
Lydia Grace Yilkari Williams,0.298,1.025,0.385,0.6399999999999999,201
Léa Le Garrec,0.287,0.183,0.116,0.06699999999999999,921
Mackenzie Arnold,0.142,0.212,0.266,-0.05400000000000002,305
Magdalena Lilly Eriksson,0.36,0.358,0.335,0.022999999999999965,5829
Malin Gut,0.066,-0.156,0.277,-0.43300000000000005,749
Mana Iwabuchi,0.169,0.143,0.483,-0.33999999999999997,636
Manuela Zinsberger,0.335,-0.066,0.251,-0.317,534
Maren Nævdal Mjelde,0.321,0.348,0.296,0.05199999999999999,3677
Maria Thorisdottir,0.44,0.56,0.178,0.38200000000000006,750
Marisa Ewers,0.294,0.212,0.358,-0.146,1139
Martha Harris,0.356,0.229,0.348,-0.11899999999999997,1085
Martha Thomas,0.432,0.32,0.35,-0.02999999999999997,1039
Mary Alexandra Earps,0.166,0.81,0.559,0.251,394
Matilde Lundorf Skovsen,0.416,0.447,0.275,0.172,406
Maya Le Tissier,0.351,0.204,0.158,0.045999999999999985,2029
Mayumi Pacheco,0.365,0.422,0.339,0.08299999999999996,2293
Maéva Clemaron,0.069,0.334,0.349,-0.014999999999999958,1182
Meaghan Sargeant,0.189,0.204,0.219,-0.015000000000000013,2070
Megan Alexander,0.506,0.445,0.464,-0.019000000000000017,835
Megan Campbell,0.248,0.279,0.283,-0.003999999999999948,537
Megan Connolly,0.33,0.342,0.285,0.05700000000000005,1381
Megan Finnigan,0.267,0.085,0.225,-0.14,3626
Megan Walsh,0.364,0.681,0.944,-0.2629999999999999,402
Melanie Leupolz,0.239,0.915,0.274,0.641,1404
Melissa Lawley,0.215,0.324,0.381,-0.056999999999999995,989
Millie Bright,0.165,0.164,0.2,-0.036000000000000004,5971
Millie Laura Farrow,0.153,0.319,0.07,0.249,226
Millie Turner,0.289,0.205,0.3,-0.095,2823
Mollie Green,0.235,0.46,0.354,0.10600000000000004,423
Molly Bartrip,0.256,0.154,0.319,-0.165,2253
Molly Pike,0.11,0.252,0.21,0.04200000000000001,764
Nadia Nadim,0.294,0.233,0.22,0.013000000000000012,140
Nadine Hanssen,0.423,0.287,0.375,-0.08800000000000002,458
Natalie Haigh,0.405,0.389,0.814,-0.42499999999999993,638
Natasha Harding,0.356,0.363,0.344,0.019000000000000017,2740
Niamh Charles,0.293,0.388,0.373,0.015000000000000013,1707
Niamh Fahey,0.444,0.349,0.499,-0.15000000000000002,1456
Nicola Cousins,0.317,0.259,0.716,-0.45699999999999996,455
Nicoline Sørensen,0.216,0.22,0.392,-0.17200000000000001,951
Nikita Parris,0.354,0.201,0.268,-0.067,1131
Noelle Maritz,0.296,0.224,0.26,-0.036000000000000004,1023
Nora Heroum,0.265,0.372,0.452,-0.08000000000000002,243
Olivia Chance,0.12,0.252,0.332,-0.08000000000000002,535
Olivia Fergusson,0.27,0.303,0.5,-0.197,466
Olivia McLoughlin,0.192,0.367,0.391,-0.02400000000000002,292
Ona Batlle Pascual,0.41,0.298,0.392,-0.09400000000000003,1873
Paige Williams,0.384,0.277,0.312,-0.034999999999999976,1058
Pauline Bremer,0.465,0.514,0.304,0.21000000000000002,391
Pauline Peyraud Magnin,0.692,0.4,0.067,0.333,134
Pernille Mosegaard Harder,0.151,-0.053,0.347,-0.39999999999999997,964
Poppy Pattinson,0.346,0.437,0.473,-0.035999999999999976,1974
Rachel Corsie,0.24,0.277,0.479,-0.20199999999999996,398
Rachel Daly,0.165,0.379,-0.073,0.452,703
Rachel Furness,0.348,0.303,0.279,0.023999999999999966,2159
Rachel Mclauchlan,0.315,0.352,0.763,-0.41100000000000003,304
Rachel Rowe,0.347,0.253,0.362,-0.10899999999999999,1855
Rachel Williams,0.255,0.327,0.394,-0.067,758
Rakel Hönnudóttir,0.41,0.302,0.269,0.032999999999999974,235
Ramona Bachmann,0.313,0.283,0.36,-0.07700000000000001,1406
Ramona Petzelberger,0.223,0.386,0.388,-0.0020000000000000018,557
Rebecca Holloway,0.429,0.468,0.309,0.15900000000000003,1686
Rebecca Jane,0.376,0.271,0.306,-0.034999999999999976,1430
Rebecca Leigh Spencer,0.069,0.357,1.136,-0.7789999999999999,243
Rebekah Ashley Stott,0.375,0.34,0.645,-0.305,301
Remi Allen,0.284,0.364,0.261,0.10299999999999998,2052
Rhiannon Roberts,0.291,0.145,0.225,-0.08000000000000002,887
Ria Percival,0.331,0.286,0.326,-0.040000000000000036,3012
Rianna Dean,0.338,0.331,0.251,0.08000000000000002,761
Rianna Jarrett,0.207,0.163,0.401,-0.23800000000000002,357
Rikke Læntver Sevecke,0.316,0.275,0.331,-0.055999999999999994,1765
Rinsola Babajide,0.336,0.28,0.138,0.14200000000000002,973
Rosella Ayane,0.318,0.4,0.302,0.09800000000000003,1297
Rosemary Kathleen Lavelle,0.24,0.528,0.305,0.22300000000000003,560
Rosie Kmita,-0.022,0.162,0.298,-0.13599999999999998,179
Ruby Grant,0.431,0.018,0.397,-0.379,158
Ruby Mace,0.583,0.298,0.228,0.06999999999999998,406
Ruesha Littlejohn,0.285,0.059,0.417,-0.358,429
Samantha June Mewis,0.214,0.338,0.206,0.13200000000000003,982
Samantha May Kerr,0.309,0.323,0.394,-0.07100000000000001,1070
Sarah Emma Mayling,0.366,0.343,0.321,0.02200000000000002,2311
Satara Murray,0.221,0.496,0.279,0.21699999999999997,886
Shania Hayles,0.241,0.192,0.558,-0.36600000000000005,377
Shelina Laura Zadorsky,0.131,0.298,0.462,-0.16400000000000003,1414
Simone Magill,0.263,0.308,0.27,0.03799999999999998,1582
Siri Worm,0.453,0.448,0.414,0.03400000000000003,2168
So-Hyun Cho,0.318,0.269,0.378,-0.10899999999999999,1516
So-Yun Ji,0.292,0.203,0.261,-0.057999999999999996,5144
Sophie Baggaley,0.982,0.643,0.822,-0.17899999999999994,353
Sophie Elizabeth Bradley-Auckland,0.213,0.38,0.487,-0.10699999999999998,1672
Sophie Haywood,-0.042,0.328,0.627,-0.299,250
Sophie Howard,0.415,0.305,0.356,-0.05099999999999999,1059
Sophie Louise Ingle,0.208,0.329,0.193,0.136,3700
Sophie Perry-Campbell,0.537,0.207,0.429,-0.222,182
Stephanie Houghton,0.121,0.119,0.162,-0.04300000000000001,5975
Stine Larsen,0.228,0.367,0.313,0.05399999999999999,620
Taylor Hinds,0.425,0.364,0.574,-0.20999999999999996,830
Tessa Wullaert,0.342,0.441,0.325,0.11599999999999999,2121
Tessel Middag,0.195,0.274,0.274,0.0,492
Tinja-Riikka Tellervo Korpela,0.269,-0.083,-0.018,-0.065,232
Tobin Powell Heath,0.579,0.501,0.401,0.09999999999999998,425
Valérie Gauvin,0.444,0.645,0.246,0.399,329
Victoria Williams,0.308,0.423,0.45,-0.027000000000000024,2238
Viktoria Schnaderbeck,0.424,0.371,0.299,0.07200000000000001,1928
Vivianne Miedema,0.303,0.317,0.281,0.035999999999999976,3257
Vyan Sampson,0.271,0.297,0.091,0.206,322
Yana Daniëls,0.367,0.169,0.323,-0.154,1905
